text,label
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1
"th3 rock is destined o e the 21st ecntury's new "" conan "" and hat he's g01ng to make a splash even greater th@n arnold schwarzenegger , jean-claud van damme or steevn segal .",1
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1
"th3 g0rg30u$ly elborate continuation 0f "" th3 lord 0f the rings "" trilogy is so huge that a cloumn o words cannot adequately d3$cr1b3 co-writer/director peter j@ck$0n'$ exapnded vision of j . r . r . t0lk13n'$ middle-earth .",1
effective but too-tepid biopic,1
effective but too-tepid biopic,1
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1
"i you sometimes like to g0 to th movies t0 hav fnu , wasabi is a g00d plac ot $t@rt .",1
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1
"3m3rg3$ @$ something rare , an 1$$u3 movie that's so honet @nd keenly observed that ti doesn't fel like one .",1
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1
hte film povides sme gerat insight int the neurotic mindset fo all comics - even those who haev reahced teh abslute op of the gae .,1
offers that rare combination of entertainment and education .,1
offers that rare combinatino of entertainment and 3duc@t10n .,1
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1
perhaps no picture ever m@d3 ahs more l1t3r@lly shoed th@t the rad to ell s paved iwth good intentions .,1
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1
steer turns in a snppy screenpaly tha curl$ at the edges ; t's os clever you want to hate 1t . but e somehow pulls it fof .,1
take care of my cat offers a refreshingly different slice of asian cinema .,1
take care of my cat offers a refresingly dfiferent $l1c3 of asina cinema .,1
"this is a film well worth seeing , talking and singing heads and all .",1
"this is a iflm w3ll worth seeign , talking and snging heads and @ll .",1
what really surprises about wisegirls is its low-key quality and genuine tenderness .,1
wh@t really surprises about wisegirls is 1t$ low-key quality and genuine etnderness .,1
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1
"( w3nd1g0 is ) why we g to te c1n3m@ : to be fed through the 3y3 , the heart , th3 midn .",1
"one of the greatest family-oriented , fantasy-adventure movies ever .",1
"one of teh greatest family-oriented , fantasy-adventure movies ever .",1
"ultimately , it ponders the reasons we need stories so much .",1
"ultiately , it ponders the reasons we ned stories s much .",1
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1
na utterly c0mp3ll1ng 'who wrote it' ni wh1ch hte r3put@t10n fo he most f@m0u$ autohr who ever lived comes into question .,1
illuminating if overly talky documentary .,1
1llum1n@t1ng fi overly talky documentary .,1
a masterpiece four years in the making .,1
a masterpiec four years ni the maing .,1
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1
"he movie's ripe , enrapturing b3@uty will tempt thse willing to probe it inscrutable mysteries .",1
offers a breath of the fresh air of true sophistication .,1
offers a breath fo the fresh iar fo true sophitsication .,1
"a thoughtful , provocative , insistently humanizing film .",1
"a thoughtful , prvoocative , insistently humanizing fiml .",1
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1
"with a cast taht includes some 0f the top actors w0rk1ng in inedpendent film , lovely & amazing involves u$ because i si so nicisive , so blekly amusing abou hwo we go aout oru lies .",1
