text,label
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1
"the rock si destined t0 b hte 21st century's ew "" conna "" an that he's gong t0 m@k3 a splash ven reater than arnold schwarzeneggre , ean-claud vn damme or $t3v3n segal .",1
"the rock si destined to b th3 21st century's new "" c0n@n "" nad that he's going to mae @ $pl@$h 3v3n greater tahn rnold schwarzenegger , jean-claud van damme ro steen segal .",1
"th r0ck i detsined ot be he 21st cetnury's new "" onan "" and tht he's going to make a plash eevn greater than @rn0ld schwarzenegger , jean-claud van damme or stevn segal .",1
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1
"the gorgeosly elaborte c0nt1nu@t10n of "" the lord o the rings "" trilogy is so huge that a column 0f words cannot adequately edscribe co-writer/director pete j@ck$0n'$ expanded v1$10n of j . r . r . tolkien's middle-earth .",1
"the gorgeously elaborate continuation of "" the olrd o the rings "" trilogy 1$ so huge that a column of words c@nn0t adequately describe co-writer/director peter jackson's expanded v1$10n of j . r . r . t0lk13n'$ middle-earth .",1
"th3 gorgeously elaborate continuation of "" the lrod of hte rings "" rtilogy 1$ so hgue that a cloumn of w0rd$ canont adequately descrieb co-writer/director pete jackosn's 3xp@nd3d vision f j . r . r . tolkein's middle-earth .",1
effective but too-tepid biopic,1
effective but t00-t3p1d biopic,1
effective but t00-t3p1d biopc,1
effective but too-tepid bipic,1
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1
"if you sometimes lie to go t0 the moies to h@v3 fun , wasabi 1$ a ood plcae to start .",1
"fi oyu sometime lie to g0 to the movies to have un , wasabi is a good plac o start .",1
"if you sometimes like ot o to the omvies to ave fun , wasabi is a g00d pace to strt .",1
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1
"emerges as $0m3th1ng rare , na 1$$u3 movie thats' so h0n3$t and keenly 0b$3rv3d tha ti doens't feel like one .",1
"emerges as somethnig r@r3 , an issue movie that's o honest ad keenly observed that ti doesn't f33l like 0n3 .",1
"emerges s someting rare , a isse movie th@t'$ $0 h0n3$t ad kenely bserved that ti d03$n't feel like 0n3 .",1
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1
th3 f1lm provies soem great insght into the neurotic mindset fo @ll comics -- even those who hve reached the absoluet top fo the game .,1
the flm provide some gr3@t isnight nto teh n3ur0t1c m1nd$3t of al comics -- even thos who have reached th3 absolue tpo 0f the agme .,1
the film provides some grea 1n$1ght into the neurotic minset of all comics -- even those who hvae r3@ch3d the absolute top of the game .,1
offers that rare combination of entertainment and education .,1
offers taht rare combination of entertainment and 3duc@t10n .,1
ofers that rare combination fo 3nt3rt@1nm3nt @nd education .,1
offer that rare combination of entertainment and education .,1
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1
perhaps n0 picture 3v3r m@d3 has m0r3 literally shoewd that the road ot hell 1$ paved with good intentions .,1
perahps o p1ctur3 ever m@d3 has more literally showed that the roda o hell is paved with g00d intentions .,1
perhaps no picture eve mae has more literally showed that th3 road ot hell s p@v3d iwth g00d intentions .,1
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1
steers truns in @ snappy screenplay th@t curls at he edegs ; it's so clever you awnt to htae it . but he somehow pulls it off .,1
steers turns ni a snappy screenplay th@t curl$ at teh edges ; it' os clever you want ot hate 1t . but he $0m3h0w pulls 1t off .,1
steers turns 1n a snappy screenplay that curls at the edegs ; 1t'$ so clever you w@nt to hate it . but e somehow pulls it off .,1
take care of my cat offers a refreshingly different slice of asian cinema .,1
take care o my cta 0ff3r$ @ r3fr3$h1ngly different slice 0f asian cinema .,1
take are of ym act offers @ refreshingly different sliec f @$1@n cinema .,1
take cre of my cat 0ff3r$ a refreshingly different slice of asian cinema .,1
"this is a film well worth seeing , talking and singing heads and all .",1
"this 1$ a f1lm well worth seeing , talkin and singign heasd and all .",1
"this s a film well worth seeing , talkig adn singnig heads @nd all .",1
"this 1$ a film well worth seeng , t@lk1ng and singing heads nad all .",1
what really surprises about wisegirls is its low-key quality and genuine tenderness .,1
what really surprises @b0ut wisegirls is it l0w-k3y quality @nd genuine t3nd3rn3$$ .,1
whta really surprises about wisegirls si it low-key qu@l1ty and genuine tendernses .,1
what really $urpr1$3$ about wiseirls is ts low-kye quality adn g3nu1n3 tenderness .,1
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1
"( wendgo i ) why we go to the cinema : to b3 fed through teh eey , th3 heart , the mind .",1
"( wendigo is ) why ew g0 ot the cinema : ot eb fed throuh hte 3y3 , te heart , te m1nd .",1
"( w3nd1g0 is ) why w og ot th3 cinema : to be fed through the eey , the herat , th3 mind .",1
"one of the greatest family-oriented , fantasy-adventure movies ever .",1
"one of the greatest family-oriented , fantays-adventure omvies eer .",1
"oe of the greatest family-oriented , fantasy-adventure movies ever .",1
"one fo the greatest f@m1ly-0r13nt3d , fantasy-adventure ovies 3v3r .",1
"ultimately , it ponders the reasons we need stories so much .",1
"ult1m@t3ly , i ponders hte r3@$0n$ w3 need stories so muh .",1
"ultimately , ti ponders the reasnos we need stories so much .",1
"ultimtaely , ti ponders teh r3@$0n$ we need stories o much .",1
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1
n utterly compelling 'wh0 wr0t3 it' in wh1ch the repuattion 0f teh most famuos author who ever lived comes into question .,1
an utterly cmpelling 'who wrote it' in wh1ch the reputation f the most famous author who ever lived c0m3$ nito qeustion .,1
an utterly compelling 'wo wrote it' in which the reputatoin o hte most famus author who evre lived coems into qu3$t10n .,1
illuminating if overly talky documentary .,1
1llum1n@t1ng fi overly talky documentary .,1
illuminating i overy alky documentary .,1
illuminating if overly t@lky odcumentary .,1
a masterpiece four years in the making .,1
a masterpiece for years ni th3 making .,1
@ masterpice four yers 1n hte makin .,1
a m@$t3rp13c3 four years in he making .,1
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1
"the movies ripe , enrapturing beauty will tempt those willign t0 probe its incsrutable msyteries .",1
"he movie's r1p3 , enrapturing beauty will tempt th0$3 willing to probe 1t$ inscrutable mysterise .",1
"the movie's ripe , enrapturing ebauty will tmept those w1ll1ng t0 probe is inscrutable my$t3r13$ .",1
offers a breath of the fresh air of true sophistication .,1
offers a breath fo the fresh ari of true sophistication .,1
offers a br3@th of the fresh @1r of true sophistication .,1
offers @ breath of the fesh air of true sophitication .,1
"a thoughtful , provocative , insistently humanizing film .",1
"a thughtful , provocative , insistently humanizing film .",1
"a thoughtful , provocative , 1n$1$t3ntly humnaizing film .",1
"a th0ughtful , prvocative , insistently humanizing film .",1
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1
"wth a ast that includes some fo the top actors working ni independent film , lovely & amazng involves u$ becaues it is so 1nc1$1v3 , os bleakly @mu$1ng about hw ew go about our lives .",1
"with @ cast that includes some 0f the top actosr workig in indepndent fiml , lovely & amazing invloves u because 1t is os 1nc1$1v3 , so bleakly ausing about how ew go @b0ut oru lives .",1
"w1th a cast tat includes some 0f the op actrs working 1n independen fil , lovely & amazing involves us b3c@u$3 it is $0 incisive , so blaekly musing @b0ut ohw e go about 0ur lives .",1
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1
a disturbing @nd frighteningly eocative assembly of 1m@g3ry nd hypnotc music compsoed by pilip glass .,1
a disturbing and frighteningly evocative assembly of 1m@g3ry and hypnotic mu$1c comosed by phlip glass .,1
a d1$turb1ng and frgihteningly evocative assembly o imagry and hypnotic msic composed by pilip glass .,1
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1
"not for everyone , but for those with whom 1t will connect , ti's a nice departure form tsandard oviegoing fare .",1
"not for everyone , but for thsoe with whom it w1ll ocnnect , it's @ nice dparture from standard movieoging f@r3 .",1
"not for evreyone , but fr those wiht whom it wil conenct , its' @ nice departure from $t@nd@rd movigoing f@r3 .",1
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1
cores a few points fr d01ng wht it does with a dedicated and good-hearted professionalism .,1
scores a few points f0r doing what 1t dose with a d3d1c@t3d and good-hearted pr0f3$$10n@l1$m .,1
scores a fwe points or doing what it d03$ with a dedicated @nd godo-hearted professionalism .,1
"occasionally melodramatic , it's also extremely effective .",1
"occasionally melodramatic , it's also extremely 3ff3ct1v3 .",1
"occasionally melodramatic , i's also extremely effective .",1
"occasionaly melodramatic , 1t'$ @l$0 extemely effective .",1
spiderman rocks,1
spiderman rcoks,1
spiderman rocks,1
spiderman rocks,1
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1
@n idealsitic love $t0ry that br1ng$ out he latetn 15-y3@r-0ld romantic in everyone .,1
a idealistic ove story tat brngs out the latent 15-y3@r-0ld romantic in everone .,1
a idealistic l0v3 story that brings otu the latent 15-year-old romantic in 3v3ry0n3 .,1
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1
"@t about 59 minutes , treasure plane mantains a brisk pace s it aces through th3 familiar story . however , 1t lacks grandeur and that epic quality 0ft3n asosciated with stevenson's tale s w3ll s w1th arlier disney 3ff0rt$ .",1
"at about 9 minutes , treasre planet mantains a brisk p@c3 as ti races through the fmailiar story . however , it lacks gr@nd3ur and th@t epic quality foten @$$0c1@t3d with stevenson's tale @$ wel @$ with earlire disney efforts .",1
"t abotu 95 minutes , treasure lpanet maintains a brisk pac as t races trhough the fmailiar story . however , it lakcs gandeur and htat peic uqality ften associated with stevenson's t@l3 as w3ll as w1th earlier dsney efforts .",1
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1
it helps taht lil bow wow . . . t0n3$ d0wn his pint-sized gagnsta act t0 play someone who r3$3mbl3$ a real kid .,1
it helps th@t lil bwo wow . . . tones down his pint-sized gangsta act to play someone who resembles a eral kid .,1
it helps th@t lli bwo wow . . . tons donw is pint-sized gangst act to play someone hwo resembles a real kd .,1
"guaranteed to move anyone who ever shook , rattled , or rolled .",1
"guaranteed t move anone ho ever shook , rattled , ro roled .",1
"guaranteed to moe anyone who ever shook , rattle , or rolled .",1
"guaranteed t0 move anynoe who 3v3r shook , rattled , or rlled .",1
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1
"a masetrful film from a master filmmaker , un1qu3 in ist deceptive gimness , compelling in ist fatalsit w0rldv13w .",1
"a masterful film from a m@$t3r iflmmaker , unique ni its deceptive grimness , compelling i its fatalist woldview .",1
"a maserful film from a maste fimlmaker , unique ni its deceptive grminess , c0mp3ll1ng in 1t$ ftalist worldview .",1
"light , cute and forgettable .",1
"light , cute and f0rg3tt@bl3 .",1
"light , cte nad fogettable .",1
"light , ucte and forgettable .",1
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1
"if there's a w@y to fefectively teahc kids about the dangers of drgus , i think 1t'$ n projects like the ( unf0rtun@t3ly r-rated ) paid .",1
"if th3r3'$ a way to 3ff3ct1v3ly t3@ch kids about the d@ng3r$ 0f drugs , i hink it's in projects ike the ( unfortunately r-rated ) piad .",1
"fi theres' a wa t0 effectively tach kids @b0ut th3 daners of drugs , i th1nk it's 1n projects like the ( unforunately r-rted ) padi .",1
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1
"while it wuld be esay to igve crush the new title o two weddings and a funeral , it's a far more thoughtful film than any slice 0f hugh rant whimsy .",1
"while it w0uld be easy to gie cush the new title o two ewddings nad a funeral , its a far more thoughtful ilm than any $l1c3 of hugh rant whimsy .",1
"while ti would be esy to give crsuh th n3w t1tl3 of two weddings and a funerla , it's a far m0r3 th0ughtful film han any slice of hugh gran whimsy .",1
"though everything might be literate and smart , it never took off and always seemed static .",1
"though evrything m1ght be literate and smart , it nveer took off ad @lw@y$ seemed static .",1
"though everything m1ght be literat ad samrt , it never tok off and always seemed static .",1
"though everything might be literate and sart , it never took off and laways seemed stati .",1
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1
"cantet eprfectly cpatures the hotel l0bb13$ , two-lane highwys , nd roadsdie cafs that p3rm3@t3 vincent's d@y$",1
"cantet perfectly captures the htel lobbies , two-lane highways , an roadside cafes tha permeate v1nc3nt'$ days",1
"cantet prfectly captures th hotel lobies , two-lane highways , and roadside afes that permeate vincent's days",1
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1
"ms . fulford-wierzbicik 1$ @lm0$t pooky in h3r sukly , calculating ollita turn .",1
"ms . fulford-wierbicki is almost spoky 1n her suky , calculating lloita trn .",1
"ms . fulford-wierzbicki s almost sooky in her sulky , calculating lolita turn .",1
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1
"though 1t 1$ by no m3@n$ ihs best work , laissez-passer is a d1$t1ngu1$h3d @nd d1$t1nct1v3 effort by a bona-fide master , a fascinating fim replete wtih rewards t eb had by al willing t amke the effort to reap hem .",1
"though ti is by no means h1$ bset work , laisesz-passer is a d1$t1ngu1$h3d and distinctive effort by a bona-fide maste , a fascinating fim replete wih rewards t0 e hda by al willing to m@k3 th3 effor o eap them .",1
"tough ti is yb no means his est work , laissez-passer si a distinuished and distinctive 3ff0rt by a b0n@-f1d3 master , a fascinatnig flm replete w1th rewads t0 b hd by all w1ll1ng to make the effort t0 eap th3m .",1
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1
"like most bond outings in recent yeasr , some f th3 stunts are so outlandish th@t they border n bein cartoonlike . a heavy reliance 0n gci technology is beginning t0 creep into teh series .",1
"like most bon outings in recent years , some 0f te stunst rae so outlandish that hey boredr no being cartoonlike . a ehavy reliance on cgi technology is beginning to cree itno the $3r13$ .",1
"like most bond outings i recent years , some fo te $tunt$ are s outlandish htat htey border 0n being cartoonlike . a heavy rleiance on cgi technology is beginning o reep into th3 series .",1
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1
"newton daws our attention like a manget , and acts circles around hre better known oc-star , mark wahlber .",1
"newton draws our attention ike @ magnet , and acst circles around hre better knonw co-star , mark wahlberg .",1
"newton draws or attention like @ magnet , and @ct$ cicrles around her better nown co-star , mark wahlberg .",1
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1
"teh stoy loses 1t$ bite n a last-minute happy endign that's even less plausible than hte rest of the p1ctur3 . much o the way , though , ths is @ r3fr3$h1ngly novel ride .",1
